HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
  194    2454        1      0.000155       1.0
  194    2907        1      0.000037      -2.0
  195    2454        1      0.000098       0.0
  195   4448        1     -0.000131      -2.0
  196    2454        1      0.000042       1.0
  196   4448        1     -0.000213      -2.0
  197    2454        1     -0.000070       1.0
  197   4448        1     -0.000375      -2.0
  198    2454        1     -0.000108       1.0
  198   4448        1     -0.000429      -2.0
  199    2454        1      0.000023       0.0
  199   4448        1      0.000081      -1.0
  200    2454        1     -0.000018       1.0
  200   4448        1     -0.000064      -2.0
  201    2454        1     -0.000170       1.0
  201   4448        1     -0.000608      -2.0
  202    2454        1     -0.000217       0.0
  202   4448        1      0.000069      -1.0
  203    2454        1     -0.000267       0.0
  203   4448        1     -0.000110      -1.0
  204    2454        1     -0.000301       0.0
  204   4448        1     -0.000232      -1.0
  205    2454        1     -0.000390       1.0
  205   4448        1      0.000000      -1.0
  206    2907        1     -0.000103       1.0
  206   2454        1     -0.000473      -2.0
  208    2907        1     -0.000014       1.0
  208   4448        1      0.000082      -2.0
  209    2907        1     -0.000017       0.0
  209   4448        1     -0.000082      -1.0
  210    2907        1     -0.000023       0.0
  210   4448        1     -0.000495      -1.0
  211    2907        1     -0.000026       0.0
  211   2454        1     -0.000447      -1.0
  212    2907        1     -0.000029       1.0
  212   2454        1     -0.000593      -2.0
  212   1416        1      0.000283       0.0
  213   1416        1      0.000255        1.0
  213   2454        1     -0.000676      -2.0
  214   1416        1      0.000222       0.0
  214   2454        1     -0.000775      -1.0
  215   1416        1      0.000174       0.0
  215   2454        1     -0.000922      -1.0
  216   1416        1      0.000121       0.0
  216   2454        1     -0.001080      -1.0
  216   4448        1     -0.000669      -1.0
  217   1416        1      0.000074       0.0
  217   4448        1     -0.001099      -1.0
  218   1416        1     -0.000027        0.0
  218   2907        1      0.000869       -1.0
  219   1416        1     -0.000084        0.0
  219   2907        1      0.000820       -1.0
  220   1416        1     -0.000154        0.0
  220   2907        1      0.000760       -1.0
  221   1416        1     -0.000256        0.0
  221   2907        1      0.000671       -2.0
  222   1416        1     -0.000310        0.0
  222   2454        1      0.000215       -3.0
  223   1416        1     -0.000385        0.0
  223   2454        1      0.000125       -2.0
  224   1416        1     -0.000459        1.0
  224   2454        1      0.000036       -2.0
  224   4448        1      0.000220       -2.0
  225   1416        1     -0.000526        0.0
  225   4448        1      0.000195       -2.0
  226   1416        1     -0.000601        0.0
  226   4448        1      0.000167       -2.0
  227   1416        1     -0.000720        0.0
  227   4448        1      0.000123       -1.0
  228   1416        1      0.001208       0.0
  228   2907        1      0.000818      -2.0
  229   1416        1      0.001143       0.0
  229   2907        1      0.000780       -2.0
  230   1416        1      0.001030       0.0
  230   2454        1      0.000659       -2.0
  231   1416        1      0.000873       0.0
  231   2454        1      0.000477       -2.0
  232   1416        1      0.000771       0.0
  232   2454        1      0.000359       -2.0  
  233   1416        1      0.000513       1.0
  233   2454        1      0.000059       -2.0
  234   1416        1      0.000364       1.0
  234   2454        1     -0.000114       -2.0
  234   4448        1     -0.000124       -2.0
  235   1416        1      0.000266       0.0
  235   2907        1      0.000283       -2.0
  236   1416        1      0.000124       0.0
  236   2907        1      0.000200       -2.0
  237   1416        1      0.000033       1.0
  237   4448        1     -0.000200       -2.0
  237   2907        1      0.000151       -2.0
  238   1416        1     -0.000044       0.0
  238   2454        1     -0.000587       -1.0
  239   1416        1      0.000433       0.0
  239   2454        1      0.001634       -1.0
  240   1416        1      0.000182       0.0
  240   2454        1      0.001314       -1.0
  241   1416        1      0.000042       0.0
  241   2454        1      0.001135       -1.0
  242   1416        1     -0.000076       0.0
  242   2454        1      0.000984       -1.0
  243   1416        1     -0.000175       0.0
